Venue Name,Status,Address,Latitude,Longitude,Usage Count,Genres,Examples
"모카클래스",OK,"서울",37.5668260046608,126.978652258309,1192,"class","[샾로맨티시스트]타로카드 원데이 기초부터 실전까지(서울일정); [샾로맨티시스트]타로카드 원데이 기초부터 실전까지 (부산출장); 페이퍼플라워  클래스"
"김천실내체육관",MISSING_ENTRY,"",,,18,"volleyball","[배구] 하이패스 vs 핑크스파이더스; [배구] 하이패스 vs 레드스파크스; [배구] 하이패스 vs 힐스테이트"
"경민대학교 기념관(체육관)",MISSING_ENTRY,"",,,18,"volleyball","[배구] 스타즈 vs 점보스; [배구] 스타즈 vs 읏맨; [배구] 스타즈 vs 우리WON"
"부산강서체육관",MISSING_ENTRY,"",,,18,"volleyball","[배구] 읏맨 vs 점보스; [배구] 읏맨 vs 스카이워커스; [배구] 읏맨 vs 스타즈"
"부산 기장체육관",MISSING_ENTRY,"",,,18,"handball","두산 vs SK호크스; 인천도시공사 vs 충남도청; 부산시설공단 vs 대구광역시청"
"아트센터인천 콘서트홀",OK,"인천 연수구 송도동 80-8",37.39314222289944,126.6261270244216,17,"classic","인천시립교향악단 기획연주회 〈과정음악회 Ⅰ〉 - 인천; 인천시립교향악단 기획연주회 〈과정음악회 Ⅱ〉 - 인천; 인천시립교향악단 기획연주회 〈과정음악회 Ⅲ〉 - 인천"
"인천삼산월드체육관",MISSING_ENTRY,"",,,17,"volleyball","[배구] 핑크스파이더스 vs 힐스테이트; [배구] 핑크스파이더스 vs PEPPERS; [배구] 핑크스파이더스 vs 레드스파크스"
"잠실실내",MISSING_ENTRY,"",,,16,"basketball","서울 삼성 vs 대구 한국가스공사; 서울 삼성 vs 창원 LG; 서울 삼성 vs 원주 DB"
"잠실학생",MISSING_ENTRY,"",,,16,"basketball","서울 SK vs 안양 정관장; 서울 SK vs 안양 정관장; 서울 SK vs 수원 KT"
"예술의전당 인춘아트홀",OK,"서울 서초구 서초동 700",37.47935616646952,127.01224423590375,15,"classic","김정훈 바이올린 독주회; 김현정글로리아＆진강우 피아노 듀오 리사이틀; 박정길 튜바 독주회"
"창원체육관",MISSING_ENTRY,"",,,15,"basketball","창원 LG vs 서울 삼성; 창원 LG vs 고양 소노; 창원LG vs 알바크 도쿄"
"강동아트센터",MISSING_ENTRY,"",,,15,"musical|unknown|classic|exhibition|class|theater","[강동문화재단] 뮤지컬 [매직 판타지아 - 도로시 리턴즈]; [강동문화재단] 극장의 도로시; [강동문화재단] 문화예술아카데미 이수민의 [클래식 시간 여행]"
"세종문화회관 M씨어터",OK,"서울 종로구 세종대로 175",37.5718133419444,126.975685044186,14,"musical|concert|play|classic|etc","더 트라이브; 크리스마스 캐럴; 알리 20주년 콘서트 - 용진(勇進) 서울 앵콜"
"세종문화회관 대극장",OK,"서울 종로구 세종대로 175",37.572594523923904,126.97577874563281,14,"musical|concert|classic|etc","뮤지컬 안나 카레니나; The Mission: K; 2026 최백호 50주년 콘서트 “낭만의 50년, 시간의 흔적을 노래하다”"
"대전예술의전당 아트홀",INCOMPLETE_DATA (Both),"정보 없음",,,14,"musical|play|classic|etc","뮤지컬 〈어쩌면 해피엔딩〉 - 대전; 2026 연극〈친정엄마와 2박3일〉 - 대전; 2026 유벨톤심포니오케스트라 작곡가 시리즈1 - 대전"
"울산동천",MISSING_ENTRY,"",,,14,"basketball","울산 현대모비스 vs 서울 SK; 울산 현대모비스 vs 대구 한국가스공사; 울산 현대모비스 vs 부산 KCC"
"고양소노아레나",MISSING_ENTRY,"",,,14,"basketball","고양 소노 vs 대구 한국가스공사; 고양 소노 vs 수원 KT; 고양 소노 vs 원주 DB"
"안양 정관장 아레나",MISSING_ENTRY,"",,,14,"basketball","안양 정관장 vs 부산 KCC; 안양 정관장 vs 울산 현대모비스; 안양 정관장 vs 대구 한국가스공사"
"부산사직",MISSING_ENTRY,"",,,14,"basketball","부산 KCC vs 대구 한국가스공사; 부산 KCC vs 고양 소노; 부산 KCC vs 창원 LG"
"GS아트센터",OK,"서울 강남구 역삼동 679",37.502200388584036,127.03753554610904,13,"musical|classic|etc|exhibition|unknown","〈라이프 오브 파이〉 한국 초연（Life of Pi）; GS아트센터 X 국립심포니오케스트라 〈피터와 늑대 ＆ 어미 거위〉; 다미앵 잘레 X 코헤이 나와 〈플래닛 ［방랑자］〉"
"국립극장 달오름극장",OK,"서울 중구 장충동2가 산 14-67",37.5531399890378,127.000027160769,13,"musical|play|etc","국립창극단 〈보허자(步虛子): 허공을 걷는 자〉; 국립창극단 〈절창VI〉; 국립극장 기획 〈당신 좋을 대로〉"
"해운대문화회관 해운홀",INCOMPLETE_DATA (Both),"정보 없음",,,13,"musical|classic","2026 〈더:매직서커스〉 - 부산; 2026 라이브 가족뮤지컬 〈빨간모자〉 - 부산; 2026 라이브 가족뮤지컬 〈오즈의마법사〉 - 부산"
"수원 KT 소닉붐 아레나",MISSING_ENTRY,"",,,13,"basketball","수원 KT vs 창원 LG; 수원 KT vs 울산 현대모비스; 수원 KT vs 부산 KCC"
"원주DB프로미아레나",MISSING_ENTRY,"",,,13,"basketball","원주 DB vs 수원 KT; 원주 DB vs 안양 정관장; 원주 DB vs 부산 KCC"
"영산아트홀",OK,"영산아트홀, 101, 여의공원로, 여의도동, 여의동, 영등포구, 서울특별시, 07241, 대한민국",37.5292755,126.9249272,12,"classic","김성현 피아노 독주회; 레이어드 콘서트 시즌 2; 영산아트홀 신인연주자시리즈"
"김포아트홀",OK,"김포아트홀, 돌문로, 북변동, 김포시, 10108, 대한민국",37.6189219,126.7201411,12,"musical|classic|etc","2026 키즈 마티네 콘서트 9월 - 김포; 2026 키즈 마티네 콘서트 ‘구독권’ - 김포; 2026 키즈 마티네 콘서트 11월 - 김포"
"대구",MISSING_ENTRY,"",,,12,"basketball","대구 한국가스공사 vs 고양 소노; 대구 한국가스공사 vs 창원 LG; 대구 한국가스공사 vs 수원 KT"
"인천선학체육관",MISSING_ENTRY,"",,,12,"handball","하남시청 vs 두산; 인천도시공사 vs 상무 피닉스; 충남도청 vs SK호크스"
"광명 시민체육관",MISSING_ENTRY,"",,,12,"handball","SK슈가글라이더즈 vs 광주도시공사; 서울시청 vs 인천광역시청; 부산시설공단 vs 경남개발공사"
"광주 빛고을체육관",MISSING_ENTRY,"",,,12,"handball","광주도시공사 vs 부산시설공단; 서울시청 vs SK슈가글라이더즈; 삼척시청 vs 인천광역시청"
"모두투어 | 3박 5일",MISSING_ENTRY,"",,,12,"travel","[노쇼핑+호핑투어+시내라운지] 코타키나발루 그랜드인 슈페리어 3박5일; [보홀 자유여행 / 왕복픽업] 돌핀베이 디럭스룸 3박5일; 마나도 더 센트라 슈페리어 3박5일"
"국립극장 해오름극장",OK,"서울 중구 장충동2가 산 14-67",37.5523399024517,126.999728395216,11,"musical|play|classic|etc","국립창극단 〈효명〉; 뮤지컬〈몽유도원〉; 국립극단 〈반야 아재〉"
"나인진홀 1관",OK,"서울 종로구 동숭동 1-149",37.5803409790355,127.004256734678,11,"play","연극 〈구원은 셀프〉; 연극 〈당근〉; 연극 〈뱀파이어를 이해하는 특별한 방법〉"
"성남아트리움 대극장",OK,"경기 성남시 수정구 태평동 3309",37.44476606199701,127.13921033075111,11,"musical|classic","2026 〈더:매직서커스〉 - 성남; 2026 라이브 가족뮤지컬〈라푼젤〉-성남; 2026 라이브 가족뮤지컬〈미녀와야수〉-성남"
"성남아트센터 콘서트홀",OK,"성남아트센터 콘서트홀, 판교로, 판교, 분당구, 성남시, 13519, 대한민국",37.4032047,127.1319543,11,"classic","2026 성남시립교향악단 정기연주회 시즌권; 고전과 낭만사이 〈베토벤 ＆ 차이코프스키 ＆ 라흐마니노프〉 - 성남; 성남시립교향악단 기획공연 〈2026 신년음악회〉 - 성남"
"대구콘서트하우스 그랜드홀",INCOMPLETE_DATA (Both),"정보 없음",,,11,"classic","대구시립교향악단 〈제522회 정기연주회 : 브람스, 독일 낭만의 대화〉; 지브리＆디즈니 영화음악 FESTA - 대구; 지브리＆디즈니 영화음악 FESTA - 대구 앙코르"
"SDR골프아카데미",OK,"경기 수원시 권선구 평동 22-17",37.26041647992,126.998331589595,11,"leisure","［고양/일산］ SDR골프아카데미(주엽점) : 스크린룸 주말/오전 10회권; ［고양/일산］ SDR골프아카데미(주엽점) : 스크린룸 주말/오후 30회권; ［고양/일산］ SDR골프아카데미(주엽점) : 스크린룸 주중/오전 10회권"
"12세 관람가",MISSING_ENTRY,"",,,11,"movie","아바타: 불과 재; 하트맨; 오늘 밤, 세계에서 이 사랑이 사라진다 해도"
"전체 관람가",MISSING_ENTRY,"",,,11,"movie","주토피아 2; 신비아파트 10주년 극장판: 한 번 더, 소환; 극장판 짱구는 못말려: 초화려! 작열하는 떡잎마을 댄서즈"
"DDP(동대문디자인플라자)",MISSING_ENTRY,"",,,11,"unknown|exhibition","서울라이트 DDP : 새해맞이 카운트다운; 2025 서울콘 SEOULCon; DDP 협력전시 [2026 VIDAK, 디총 31주년 기념 [K_Culture]: 신진작가 국제 초대전]"
"달밤엔씨어터",OK,"서울 종로구 혜화동 194",37.58400086117188,127.00268096839773,10,"musical|kids","가족뮤지컬 〈반짝반짝 백설공주〉; 명작 가족뮤지컬 〈오즈의 마법사〉; 클래식 가족 뮤지컬 〈반짝반짝 라푼젤〉"
"의정부예술의전당 대극장",OK,"경기 의정부시 의정부동 323",37.7335300891832,127.034178367299,10,"musical|concert|classic","뮤지컬 집사TV 〈대저택 문의 비밀〉 : part.1 - 의정부; 베베핀 뮤지컬 〈두근두근 새친구〉 - 의정부; 쇼뮤지컬 〈프린세스 캐치! 티니핑〉 - 의정부"
"부산시민회관 소극장",INCOMPLETE_DATA (Both),"정보 없음",,,10,"musical|concert|play|classic","뮤지컬 〈인사이드 미〉 - 부산; 싱어롱뮤지컬 브레드이발소 〈브레드와 윌크의 세계여행〉 - 부산; 어린이 뮤지컬 〈렛잇고〉 - 부산"
"영화의전당 하늘연극장",INCOMPLETE_DATA (Both),"정보 없음",,,10,"concert|play|classic","［데뷔 60주년 기념공연］ 2026 남진 전국투어 콘서트 - 부산; 2025 박강성 전국투어 콘서트 : MY LIFE - 부산; 2026 김장훈 전국투어 콘서트 : 원맨쇼 - 부산"
"광주예술의전당 대극장",INCOMPLETE_DATA (Both),"정보 없음",,,10,"concert|play|classic","〈미스터트롯3〉 TOP7 광주콘서트; 2026 연극〈친정엄마와 2박3일〉 - 광주; 2026 유키 구라모토 콘서트 Peacefully - 광주"
"서울시립과학관",MISSING_ENTRY,"",,,10,"unknown|exhibition|leisure|class","[서울시립과학관] 2026년 서울시립과학관 [교사연수] 참가자 모집 안내; [서울시립과학관] 2025 자연을 담은 생태화 그리기 수강생 작품 전시회; [서울시립과학관] MYSTERY A.I. [사라진 가족의 행방]"
"나루아트센터 대공연장",OK,"서울 광진구 자양동 227-344",37.5375856708648,127.070580693965,9,"musical|concert|classic|etc","낭만박상환 끼발산 키득가득 의 〈숏숏쇼〉 - 서울(광진); 뮤지컬 〈개구쟁이 특공대 : 마녀저택〉; 집사TV 〈대저택 문의 비밀〉 : part.1 - 서울(광진)"
"갤러리 디아르테",OK,"서울 강남구 청담동 70-16",37.5205559525798,127.055134996985,9,"classic","1월, 월간연주자 피아니스트 김다희; 1월, 월간연주자 피아니스트 김유빈; 2월, 월간연주자 피아니스트 심승엽"
"청주예술의전당 대공연장",INCOMPLETE_DATA (Both),"정보 없음",,,9,"musical|concert|classic","가족뮤지컬 〈마인블록월드:우리가 만드는 세상〉 - 청주; 뮤지컬 ‘멜로우TV 〈Run it up, 팀나빠〉’ - 청주; 뮤지컬 헬로카봇 스페셜 시즌9 〈전설의 용사를 찾아서〉 - 청주"
"대전예술의전당 앙상블홀",INCOMPLETE_DATA (Both),"정보 없음",,,9,"classic|play","대전시립교향악단 디스커버리 시리즈 1 〈‘당.신.들’- 당신의 신청곡을 들려드립니다〉; 바리톤 차두식 독창회 - 대전; 제11회 셈플리체 정기연주회 ［Music of Love］ - 대전"
"경복궁",OK,"경복궁, 청운효자동, 종로구, 서울특별시, 03045, 대한민국",37.579754,126.9766818,9,"exhibition|activity|kids","경복궁의 인문학산책; 국가대표궁궐, 경복궁; 국가대표궁궐 경복궁"
"국립중앙박물관 1층 뮤지엄샵 앞",INCOMPLETE_DATA (Coords),"국립중앙박물관 1층 뮤지엄샵 앞",,,9,"kids","[라라클래스] 그리스로마 별자리탐험대 6-8세 전용! 그리스로마 신화와 별자리를 한번에!; [라라클래스] 고학년 전용! 그리스로마 신화와 세계사를 한번에 - 그리스로마전(11세이상); [라라클래스] 국립중앙박물관 선사시대 초등저학년 ""Premium"" 역사탐험대 Season3"
"LG아트센터 서울 LG SIGNATURE 홀",OK,"서울 강서구 마곡중앙로 136 LG아트센터 서울",37.5509,126.8497,8,"musical|concert|play|classic|etc","［로터리 티켓］ 뮤지컬 〈비틀쥬스〉; 뮤지컬 〈비틀쥬스〉; 윈튼 마살리스 ＆ 재즈 앳 링컨센터 오케스트라"
"인천문화예술회관 대공연장",OK,"인천 남동구 구월동 1408",37.4478175602933,126.700114305597,8,"musical|concert|classic","가족뮤지컬 〈뽀로로와 신비한 여행〉 - 인천; 뮤지컬 〈설민석의 한국사 대모험 : 안중근〉 - 인천; 집사TV 〈대저택 문의 비밀〉 : part.1 - 인천"
"부산시민회관 대극장",INCOMPLETE_DATA (Both),"정보 없음",,,8,"musical|classic|etc","가족뮤지컬 〈정승제의 수학대모험 : 수포자의 비밀〉 - 부산; 뮤지컬 ‘멜로우TV 〈Run it up, 팀나빠〉’ - 부산; 꾸러기음악회-봄이오는소리 - 부산"
"광주5.18기념문화센터 민주홀",INCOMPLETE_DATA (Both),"정보 없음",,,8,"musical|play","2026 라이브 가족뮤지컬 〈라푼젤〉 - 광주; 2026 라이브 가족뮤지컬 〈미녀와야수〉 - 광주; 2026 베스트셀러 뮤지컬 〈사과가 쿵!〉 - 광주"
"덕수궁",OK,"덕수궁, 99, 세종대로, 정동, 소공동, 중구, 서울특별시, 04519, 대한민국",37.5661668,126.9751703,8,"exhibition|activity|kids","［소풍］덕수궁 야경투어; 궁궐야행, 덕수궁; 덕수궁의 인문학산책"
"서울역사박물관",OK,"서울역사박물관, 55, 새문안로, 신문로2가, 사직동, 종로구, 서울특별시, 03177, 대한민국",37.5704789,126.9705257,8,"exhibition|activity","서울역사박물관 인문학산책; 서울역사박물관 인문학산책; [서울역사박물관] 베셀레 바노체(Vesele Vanoce)"
"대전시립연정국악원 작은마당",INCOMPLETE_DATA (Both),"정보 없음",,,8,"etc","K-브런치콘서트「우.아.한(우리의 아침을 여는 한국음악)」 - 3월; K-브런치콘서트「우.아.한(우리의 아침을 여는 한국음악)」 - 4월; K-브런치콘서트「우.아.한(우리의 아침을 여는 한국음악)」 - 5월"
"김해가야테마파크",INCOMPLETE_DATA (Both),"정보 없음",,,8,"leisure","김해가야테마파크 눈썰매 입장권+공연(페인터즈 가야왕국); 김해가야테마파크 눈썰매 입장권+메가익스트림; 김해가야테마파크 눈썰매 입장권+어드벤처"
"서울 종로구",MISSING_ENTRY,"",,,8,"festival","서울라이트 광화문; 동궐동락; 온 가족 책 잔치"
"위치 정보는 상품 상세 페이지를 참고해주세요.",INCOMPLETE_DATA (Coords),"위치 정보는 상품 상세 페이지를 참고해주세요.",,,8,"kids","[키즈][경기/수원] 화성박물관&화성행궁 어린이 역사투어; [키즈][서울/용산] 프라이빗 박물관 숲체험; [키즈][서울] 역사숲체험 역사체험과 숲체험을 동시에~!"
"마포구립서강도서관",MISSING_ENTRY,"",,,8,"class|unknown","[마포구립서강도서관] 1월 어린이 겨울 독서교실 [겨울아, 읽자]; [마포구립서강도서관] 1월/어린이메이킹 [해봄아 노올자!] 해봄맘껏Time; [마포구립서강도서관] 2026년 개관 18주년 기념 집중인문학 [여성 작가, 세상을 다시 쓰다]"
"서울상상나라",MISSING_ENTRY,"",,,8,"unknown|class|exhibition","[서울상상나라] 당근 라페 꽃게 샌드위치; [서울상상나라] 히잉~말 빵; [서울상상나라] 국제상 수상 빛의 방 신규 교육 프로그램 [빛, 너머]"
"관악아트홀",OK,"관악산입구.관악아트홀·중앙도서관, 신림로, 녹두거리, 대학동, 관악구, 서울특별시, 08825, 대한민국",37.4680131,126.9466902,7,"musical|classic|etc|unknown","2026 〈더:매직서커스〉 - 서울(관악); 어린이뮤지컬 캣; 지브리와 사랑에 빠지다 : 지브리 영화음악 콘서트 2026 - 서울 관악"
"영등포아트홀",OK,"영등포아트홀 앞, 신월여의지하도로, 당산1동, 영등포구, 서울특별시, 07988, 대한민국",37.5266838,126.9001923,7,"musical|concert|classic","2026 가족매직쇼〈스노우버블쇼〉 - 서울(영등포); 그리스 로마 신화 〈신들의 왕 제우스〉 - 서울 영등포; 백설공주"
"성수아트홀",OK,"성수아트홀, 왕십리로6길, 성수1가2동, 성동구, 서울특별시, 04778, 대한민국",37.5454098,127.0469706,7,"musical|concert|theater","싱어롱 뮤지컬 〈다이노스터 : 공룡수호대〉 - 서울; 싱어롱 뮤지컬 〈슈퍼윙스 : 초능력 곤충 대소동〉 - 서울 성동; 김현창 콘서트 - 긴 잠을 바랐던 날의 안부"
"K-POP STAGE",OK,"서울 마포구 와우산로21길 29",37.5522135177338,126.922439996039,7,"concert|play","Antares The First 2026; KOKOON SHOW; ［ NEW 웃음주의］ GAG STAGE"
"대전평송청소년문화센터 소극장",INCOMPLETE_DATA (Both),"정보 없음",,,7,"musical|classic","2026 가족 매직쇼 〈매직키즈마술쇼〉 - 대전; 2026 라이브 가족뮤지컬 〈빨간모자〉 - 대전; 2026 라이브 가족뮤지컬 〈알라딘〉 - 대전"
"대구문화예술회관 비슬홀",INCOMPLETE_DATA (Both),"정보 없음",,,7,"concert|classic|etc","김정식 재즈 밴드 ‘The Music of Miles Davis’ - 대구; 강대현 바이올린 리사이틀 - 대구; 노서균 바이올린 리사이틀 - 대구"
"울산문화예술회관 대공연장",INCOMPLETE_DATA (Both),"정보 없음",,,7,"musical|concert|classic","가족뮤지컬 〈설민석의 한국사 대모험 : 안중근〉 - 울산; 〈미스터트롯3〉 TOP7 울산콘서트; 2025-26 김창옥 토크콘서트 시즌5 - 울산"
"창경궁",OK,"창경궁, 185, 창경궁로, 연건동, 이화동, 종로구, 서울특별시, 03072, 대한민국",37.5802456,126.9948331,7,"exhibition|activity|kids","［소풍］ 창경궁 야경투어; 궁궐야행, 창경궁; 창경궁의 인문학산책(야간)"
"(주)송운개발",OK,"경기도 용인시 처인구 지삼로 470",37.2343,127.1615,7,"leisure","［경기/용인］ 조일프라자골프클럽 : 실외타석이용권 10회권; ［경기/용인］ 조일프라자골프클럽 : 실외타석이용권 1회권; ［경기/용인］ 조일프라자골프클럽 : 실외타석이용권 20회권"
"경주루지월드",INCOMPLETE_DATA (Both),"정보 없음",,,7,"exhibition|leisure","［경주］ 경주여행은 여기로! 루지월드+바니베어뮤지엄 이용권!; ［경주］ 경주가볼만한곳 루지월드+키덜트뮤지엄 이용권!; ［경주］ 경주가볼만한곳 베스트 루지월드+엑스포대공원 이용권!"
"정글미디어파크",INCOMPLETE_DATA (Both),"정보 없음",,,7,"exhibition|leisure","［경주］ 정글미디어파크 통합권+렛미체인지 교복or의상대여 패키지; ［경주］ 동궁원+정글 미디어파크 통합권 패키지; ［경주］ 정글 미디어파크 통합권+또봇정크아트(+엑스포통합권) 패키지"
"송도해상케이블카",INCOMPLETE_DATA (Both),"정보 없음",,,7,"exhibition|leisure","［부산투어패스］송도해상케이블카X남포동 영화체험박물관; ［부산］ 부산투어패스 송도해상케이블카X남포동 자갈치크루즈; ［부산］ 부산투어패스 송도해상케이블카X부산시티투어버스"
"15세 관람가",MISSING_ENTRY,"",,,7,"movie","만약에 우리; 신의악단; 보이"
"예술의 전당",MISSING_ENTRY,"",,,7,"unknown|classic","제17회 ARKO한국창작음악제 (국악부문); 김정훈 바이올린 독주회; [강남문화재단] 강남심포니오케스트라 제114회 정기연주회"
